repeat,outer_fold,inner_best_score,inner_best_params,n_candidates
1,1,0.5662925748858818,"{'classifier__C': np.float64(1.0797151434089138), 'classifier__gamma': np.float64(0.0011669012872620147), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.6451478439073702), 'oversampling__k_neighbors': 3}",100
1,2,0.5677747616346596,"{'classifier__C': np.float64(570551.6122343824), 'classifier__gamma': np.float64(1.0049992305700095), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5184803825455441), 'oversampling__k_neighbors': 5}",100
1,3,0.5650919698565756,"{'classifier__C': np.float64(275508.2946001167), 'classifier__gamma': np.float64(3.111092443145132e-05), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5940134229269121), 'oversampling__k_neighbors': 4}",100
1,4,0.5195611389728756,"{'classifier__C': np.float64(2544.0224315041837), 'classifier__gamma': np.float64(1.4012409951405813), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5940822293319712), 'oversampling__k_neighbors': 4}",100
1,5,0.5534779585077203,"{'classifier__C': np.float64(1823.4889604457594), 'classifier__gamma': np.float64(0.0950955562980528), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5421536455226417), 'oversampling__k_neighbors': 5}",100
2,1,0.5666734192258864,"{'classifier__C': np.float64(21.841779839273965), 'classifier__gamma': np.float64(0.00035871924206217447), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5539394153001572), 'oversampling__k_neighbors': 6}",100
2,2,0.5420009183480539,"{'classifier__C': np.float64(0.039116250066838325), 'classifier__gamma': np.float64(0.003230428252240959), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5521410767863084), 'oversampling__k_neighbors': 3}",100
2,3,0.5447343543202874,"{'classifier__C': np.float64(0.45027193536160615), 'classifier__gamma': np.float64(0.0008274235760837795), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5965651038687684), 'oversampling__k_neighbors': 4}",100
2,4,0.549999511863189,"{'classifier__C': np.float64(533.5112055356554), 'classifier__gamma': np.float64(0.5532870850012646), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5074645230175353), 'oversampling__k_neighbors': 5}",100
2,5,0.5443854503989544,"{'classifier__C': np.float64(17.009414653862457), 'classifier__gamma': np.float64(2.8460709978861003e-05), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.6142619362704551), 'oversampling__k_neighbors': 6}",100
3,1,0.5411460443508089,"{'classifier__C': np.float64(207.74809931193525), 'classifier__gamma': np.float64(0.1280142038694337), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.9343648882688621), 'oversampling__k_neighbors': 6}",100
3,2,0.5421163871107149,"{'classifier__C': np.float64(0.039116250066838325), 'classifier__gamma': np.float64(0.003230428252240959), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5521410767863084), 'oversampling__k_neighbors': 3}",100
3,3,0.5514707073981039,"{'classifier__C': np.float64(1.0797151434089138), 'classifier__gamma': np.float64(0.0011669012872620147), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.6451478439073702), 'oversampling__k_neighbors': 3}",100
3,4,0.5582648233318982,"{'classifier__C': np.float64(19.535801797945574), 'classifier__gamma': np.float64(0.7881075270302922), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5622588915880106), 'oversampling__k_neighbors': 7}",100
3,5,0.5405104414091013,"{'classifier__C': np.float64(533.5112055356554), 'classifier__gamma': np.float64(0.5532870850012646), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5074645230175353), 'oversampling__k_neighbors': 5}",100
4,1,0.5437309240202037,"{'classifier__C': np.float64(19.535801797945574), 'classifier__gamma': np.float64(0.7881075270302922), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5622588915880106), 'oversampling__k_neighbors': 7}",100
4,2,0.5179044107716824,"{'classifier__C': np.float64(116937.06199417307), 'classifier__gamma': np.float64(1.7140813013188114), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.928882331160779), 'oversampling__k_neighbors': 7}",100
4,3,0.5577688193825459,"{'classifier__C': np.float64(725.0347382396636), 'classifier__gamma': np.float64(0.00015619562520792737), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5292732168433758), 'oversampling__k_neighbors': 6}",100
4,4,0.5370580938127358,"{'classifier__C': np.float64(3.4306470638162736), 'classifier__gamma': np.float64(0.00015362051856878086), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.7505605681062576), 'oversampling__k_neighbors': 4}",100
4,5,0.5446523798784799,"{'classifier__C': np.float64(0.45027193536160615), 'classifier__gamma': np.float64(0.0008274235760837795), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5965651038687684), 'oversampling__k_neighbors': 4}",100
5,1,0.5586378737541529,"{'classifier__C': np.float64(595.3896264004534), 'classifier__gamma': np.float64(0.013207763079904542), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5449887121181013), 'oversampling__k_neighbors': 5}",100
5,2,0.521609540015666,"{'classifier__C': np.float64(1368.5263669430196), 'classifier__gamma': np.float64(3.881322724279026e-05), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5727329213425763), 'oversampling__k_neighbors': 6}",100
5,3,0.539305296707452,"{'classifier__C': np.float64(725.0347382396636), 'classifier__gamma': np.float64(0.00015619562520792737), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5292732168433758), 'oversampling__k_neighbors': 6}",100
5,4,0.5216043088161739,"{'classifier__C': np.float64(1368.5263669430196), 'classifier__gamma': np.float64(3.881322724279026e-05), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5727329213425763), 'oversampling__k_neighbors': 6}",100
5,5,0.5436376736180603,"{'classifier__C': np.float64(725.0347382396636), 'classifier__gamma': np.float64(0.00015619562520792737), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5292732168433758), 'oversampling__k_neighbors': 6}",100
6,1,0.5616400615833401,"{'classifier__C': np.float64(1643.198674858489), 'classifier__gamma': np.float64(0.00037143700276692093), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.8204806496063912), 'oversampling__k_neighbors': 3}",100
6,2,0.5555492531669503,"{'classifier__C': np.float64(1643.198674858489), 'classifier__gamma': np.float64(0.00037143700276692093), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.8204806496063912), 'oversampling__k_neighbors': 3}",100
6,3,0.5221308375874456,"{'classifier__C': np.float64(527247.6383549521), 'classifier__gamma': np.float64(0.01588020597976637), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.8789103837553915), 'oversampling__k_neighbors': 6}",100
6,4,0.5560169533168733,"{'classifier__C': np.float64(0.040065452132270085), 'classifier__gamma': np.float64(0.0013800001544584993), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5859099640176557), 'oversampling__k_neighbors': 3}",100
6,5,0.5612352659971382,"{'classifier__C': np.float64(0.040065452132270085), 'classifier__gamma': np.float64(0.0013800001544584993), 'classifier__kernel': 'rbf', 'feature_selection__n_components': np.float64(0.5859099640176557), 'oversampling__k_neighbors': 3}",100
